119,9,3,39,44,13,11,6,42,17,112,153,68,184,136,232,72,10,60,38,46,42,4,37,32,46,10,0,4,35,1,1,3,43,35,44,255,8,37,30,23,8
246,18,4,77,85,17,14,10,125,20,173,209,132,345,215,320,168,46,107,42,32,123,2,38,39,76,6,0,5,52,7,8,8,71,64,94,492,12,56,23,59,15
12,4,1,5,3,3,0,1,15,3,18,23,15,33,25,30,11,7,6,5,7,14,1,2,7,4,1,0,1,3,1,0,0,8,7,4,29,1,4,3,3,2
272,23,6,82,102,29,8,27,109,29,195,250,221,392,314,434,158,48,113,54,79,158,11,56,55,94,6,1,6,54,8,2,11,87,104,89,463,26,65,36,69,21
151,12,5,51,69,18,5,26,71,17,103,137,83,238,158,236,91,30,66,25,57,87,4,24,22,81,4,1,1,40,7,4,6,41,56,41,306,8,47,23,31,12
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,1,10,15,4,0,6,17,6,17,35,13,43,30,70,26,4,22,8,6,32,1,5,8,13,2,1,1,11,0,0,1,12,19,10,90,10,12,5,10,5
8,0,0,2,1,0,0,2,2,0,0,8,3,9,1,5,5,0,2,1,0,6,0,1,1,2,0,0,0,2,0,0,0,0,0,2,8,0,5,1,1,0
23,0,1,9,18,3,1,5,11,3,21,25,29,41,35,32,18,3,15,7,4,14,0,4,3,10,0,0,2,4,2,1,0,6,10,12,51,3,9,6,6,3
0,0,0,0,2,0,0,0,1,0,1,1,4,1,3,1,3,2,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0
250,21,6,101,105,23,23,22,97,43,187,208,177,431,290,385,170,32,104,48,87,171,10,41,65,110,4,1,3,60,2,7,4,92,86,88,549,22,58,30,63,20
7,1,0,0,2,0,0,2,3,0,0,3,6,4,4,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,9,0,0,0,0,0
133,15,4,40,44,17,6,15,50,13,77,140,70,212,99,252,67,21,69,30,36,49,4,19,25,37,6,0,1,30,4,1,1,41,46,29,289,10,38,15,30,10
215,19,3,71,81,24,15,26,89,17,188,206,122,314,222,354,120,26,97,58,43,112,4,54,38,77,7,0,0,36,4,1,5,59,61,97,342,13,57,21,41,11
50,0,4,24,23,8,3,10,24,6,68,43,56,60,58,81,33,10,33,9,12,35,2,16,12,24,2,0,2,4,5,1,2,25,19,26,118,8,11,7,19,3
0,0,0,1,0,0,0,0,3,1,1,2,1,8,2,2,2,2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,2,0,0,7,2,0,0,1,1
